Title,Author,Year
IMPACT OF GLOBALISATION ON TRIBALS: In the Context of Kerala,Mathew Aerthayil,2008
INDIAN TRIBES AND THE MAINSTREAM,Sukant K. Chaudhury and Soumendra Mohan Patnaik (Eds.) ,2008
TRIBALS AND THE INDIAN CONSTITUTION: Functioning of Fifth Schedule in the State of Orissa,N.K. Behura and Nilakantha Panigrahi,2006
THE SOCIOLOGY OF CULTURE ,Boris Erasov and Yogendra Singh,2006
ANTHROPOLOGY: Theoretical Practice in Culture and Society,Michael Herzfeld,2004
CASTE AND RACE: Comparative Study of BR Ambedkar and Martin Luther King ,Mohan Dass Namishray,2003
MANAVSHASTRIYA VICHARAK (Anthropological Thinkers) (Hindi) ,Harikrishna Rawat,2003
MANAVSHASTRIYA VICHARAK (Anthropological Thinkers) (Hindi) ,Harikrishna Rawat,2003
AUTONOMY MOVEMENTS AND FEDERAL INDIA ,Bhupinder Singh,2002
"CULTURE, COMMUNITIES AND CHANGE",0
ETHNOGRAPHY OF A TRIBE: Study of Anwals of Uttarakhand Himalaya,B.S. Bisht ,2001
THE SADHUS OF INDIA: A Study of Hindu Asceticism,Robert Lewis Gross ,2001
SOCIAL ANTHROPOLOGY,S.L. Doshi and P.C. Jain,2001
SOCIAL ANTHROPOLOGY,S.L. Doshi and P.C. Jain,2001
TRADING COMMUNITY OF INDIA: An Anthropological Study of Ethnicity,Nilakantha Panigrahi and Premananda Panda ,2000
ETHNOGRAPHY AND PERSONHOOD: Notes from the Field,Michael W. Meister (ed.),2000
FOLK RELIGION: Change and Continuity,H S Bhatti ,2000
CULTURE CHANGE IN INDIA: Identity & Globalization,Yogendra Singh ,2000
CULTURE CHANGE IN INDIA: Identity & Globalization,Yogendra Singh ,2000
MULTI-CULTURALISM AND ETHNICITY IN GLOBAL CONTEXT,Satish K. Sharma (Ed.),1996
MODERNIZATION OF INDIAN TRADITION ,Yogendra Singh,1986
MODERNIZATION OF INDIAN TRADITION,Yogendra Singh,1986
SOCIAL PROBLEMS IN INDIA (Fourth Edition),Ram Ahuja,2021
