Title,Author,Year
From Far Away  Vol. 14,Kyoko Hikawa/Yuko Sawada/Freeman Wong,2007
Very Far Away from Anywhere Else,Ursula K. Le Guin,2004
Vagabond  Volume 20,Takehiko Inoue,2005
Tsubasa: RESERVoir CHRoNiCLE  Vol. 11,CLAMP/William Flanagan,2006
Tsubasa: RESERVoir CHRoNiCLE  Vol. 3,CLAMP/William Flanagan,2004
Tsubasa: RESERVoir CHRoNiCLE  Vol. 1,CLAMP/Anthony Gerard,2004
Tsubasa: RESERVoir CHRoNiCLE  Vol. 10,CLAMP/William Flanagan,2006
Tsubasa: RESERVoir CHRoNiCLE  Vol. 8,CLAMP/William Flanagan,2006
Tsubasa: RESERVoir CHRoNiCLE  Vol. 6,CLAMP/William Flanagan,2005
Tsubasa: RESERVoir CHRoNiCLE  Vol. 04 (Tsubasa: RESERVoir CHRoNiCLE  #4),CLAMP/William Flanagan,2005
Tsubasa: RESERVoir CHRoNiCLE  Vol. 09,CLAMP/William Flanagan,2006
Tsubasa: RESERVoir CHRoNiCLE  Vol. 12,CLAMP/William Flanagan,2007
Hikaru no Go  Vol. 7: The Young Lions Tournament (Hikaru no Go  #7),Yumi Hotta/Takeshi Obata,2006
Hikaru no Go  Vol. 8: The Pro Test Preliminaries: Day Four (Hikaru no Go  #8),Yumi Hotta/Takeshi Obata,2006
Hikaru no Go  Vol. 1: Descent of the Go Master (Hikaru no Go  #1),Yumi Hotta/Takeshi Obata,2004
Hikaru no Go  Vol. 9: The Pro Test Begins (Hikaru no Go  #9),Yumi Hotta/Takeshi Obata/Yukari Umezawa,2007
Hikaru no Go  Vol. 10: Lifeline (Hikaru no Go  #10),Yumi Hotta/Takeshi Obata,2007
Death Note  Vol. 8: Target (Death Note  #8),Tsugumi Ohba/Takeshi Obata/Tetsuichiro Miyaki,2006
Death Note  Vol. 1: Boredom (Death Note  #1),Tsugumi Ohba/Takeshi Obata/Pookie Rolf,2005
Death Note  Vol. 4: Love (Death Note  #4),Tsugumi Ohba/Alexis Kirsch,2006
Death Note  Vol. 5: Whiteout (Death Note  #5),Tsugumi Ohba/Takeshi Obata/Alexis Kirsch,2006
Death Note  Vol. 3: Hard Run (Death Note  #3),Tsugumi Ohba/Takeshi Obata/Pookie Rolf,2006
Death Note  Vol. 2: Confluence (Death Note  #2),Tsugumi Ohba/Takeshi Obata/Pookie Rolf,2005
Death Note  Vol. 6: Give-and-Take (Death Note  #6),Tsugumi Ohba/Takeshi Obata/Alexis Kirsch,2006
Death Note  Vol. 7: Zero (Death Note  #7),Tsugumi Ohba/Takeshi Obata/Alexis Kirsch,2006
Death Note  Vol. 9: Contact (Death Note  #9),Tsugumi Ohba/Takeshi Obata/Tetsuichiro Miyaki,2007
Death Note  Vol. 10: Deletion (Death Note  #10),Tsugumi Ohba/Takeshi Obata/Tetsuichiro Miyaki,2007
The Worm Ouroboros,E.R. Eddison/Keith   Henderson,2006
Mistress of Mistresses: A Vision of Zimiamvia (The Zimiamvian Trilogy  #1),E.R. Eddison/Gerald Ravenscourt Hayes/Keith   Henderson,1977
The Mezentian Gate,E.R. Eddison,1978
The Mythical Man-Month: Essays on Software Engineering,Frederick P. Brooks Jr.,1995
Voices (Annals of the Western Shore  #2),Ursula K. Le Guin,2006
Gifts (Annals of the Western Shore  #1),Ursula K. Le Guin,2006
Lao Tzu: Tao Te Ching: A Book about the Way and the Power of the Way,Lao Tzu/Ursula K. Le Guin/J.P. Seaton,1998
The Wave in the Mind: Talks and Essays on the Writer  the Reader and the Imagination,Ursula K. Le Guin,2004
The Dispossessed,Ursula K. Le Guin,1994
Five Complete Novels,Ursula K. Le Guin,1985
Tehanu (Earthsea Cycle  #4),Ursula K. Le Guin,2001
Changing Planes,Ursula K. Le Guin,2005
The Other Wind (Earthsea Cycle  #6),Ursula K. Le Guin/Samuel Roukin,2003
Tales from Earthsea (Earthsea Cycle  #5),Ursula K. Le Guin,2003
Jane on Her Own (Catwings  #4),Ursula K. Le Guin/S.D. Schindler,2006
Tehanu (Earthsea Cycle  #4),Ursula K. Le Guin,2004
The Tombs of Atuan (Earthsea Cycle  #2),Ursula K. Le Guin/Margot Paronis,2001
Catwings (Catwings #1),Ursula K. Le Guin/S.D. Schindler,2003
Wonderful Alexander and the Catwings,Ursula K. Le Guin/S.D. Schindler,1994
The Farthest Shore (Earthsea Cycle  #3),Ursula K. Le Guin,2004
The Life and Games of Mikhail Tal,Mikhail Tal/Iakov Damsky/Kenneth P. Neat,1997
Tal-Botvinnik 1960,Mikhail Tal/Hanon W. Russell,2001
Don Quixote,Miguel de Cervantes Saavedra/John Rutherford,2003
Cromartie High School  Vol. 06,Eiji Nonaka/Brendan Frayne,2006
Cromartie High School  Vol. 05,Eiji Nonaka/Brendan Frayne,2006
Cromartie High School  Vol. 01,Eiji Nonaka/Brendan Frayne,2005
Cromartie High School  Vol. 02,Eiji Nonaka/Brendan Frayne,2005
Bleach  Volume 16,Tite Kubo,2006
Bleach  Volume 13,Tite Kubo,2006
Bleach  Volume 10,Tite Kubo,2005
Bleach  Volume 18,Tite Kubo,2007
Bleach  Volume 17,Tite Kubo,2007
Bleach  Volume 19,Tite Kubo,2007
Bleach  Volume 20,Tite Kubo,2007
Twelve Fair Kingdoms,Suzette Haden Elgin,1983
Crest of the Stars 2: A Modest War  (Seikai no Monshou  #2),Hiroyuki Morioka,2007
Crest of the Stars 3: Return to a Strange World  (Seikai no Monshou  #3),Hiroyuki Morioka,2007
Julie and Julia: My Year of Cooking Dangerously,Julie Powell,2006
Julie and Julia: 365 Days  524 Recipes  1 Tiny Apartment Kitchen,Julie Powell,2005
The Master of Go,Yasunari Kawabata/Edward G. Seidensticker,1996
Conrad's Fate (Chrestomanci  #5),Diana Wynne Jones,2006
Rocketman: Astronaut Pete Conrad's Incredible Ride to the Moon and Beyond,Nancy Conrad/Howard A. Klausner/Buzz Aldrin,2006
Red River  Vol. 14 (Red River  #14),Chie Shinohara,2006
Red River  Vol. 15 (Red River  #15),Chie Shinohara,2006
Red River  Vol. 16 (Red River  #16),Chie Shinohara,2007
Red River  Vol. 17 (Red River  #17),Chie Shinohara,2007
Tramps Like Us  Volume 8,Yayoi Ogawa,2006
Tramps Like Us  Volume 9,Yayoi Ogawa,2006
Tramps Like Us  Volume 11,Yayoi Ogawa,2007
Tramps Like Us  Volume 12,Yayoi Ogawa,2007
The Interpreter,Suki Kim,2004
The Thousandfold Thought (The Prince of Nothing  #3),R. Scott Bakker,2007
Flight of the Nighthawks (The Darkwar Saga  #1),Raymond E. Feist,2006
Magician: Apprentice (The Riftwar Saga  #1),Raymond E. Feist,1994
Into a Dark Realm (The Darkwar Saga  #2),Raymond E. Feist,2007
Manna from Heaven,Roger Zelazny/Scott Zrubeck/Steven Brust,2006
Lord of Light,Roger Zelazny,2010
Roger Zelazny's To Rule in Amber (The Dawn of Amber  #3),John Gregory Betancourt/Roger Zelazny,2005
Terrier (Beka Cooper  #1),Tamora Pierce,2006
Alanna: The First Adventure (Song of the Lioness  #1),Tamora Pierce,2005
Young Warriors: Stories of Strength,Tamora Pierce/Josepha Sherman/Margaret Mahy/Lesley McBain/Mike Resnick/Bruce Rogers/Pamela F. Service/Jan Stirling/Holly Black/Doranna Durgin/India Edghill/Rosemary Edghill/Esther M. Friesner/Laura Anne Gilman/Janis Ian/Brett Hartinge,2006
Emperor Mage (Immortals  #3),Tamora Pierce,2005
The Realms of the Gods (Immortals  #4),Tamora Pierce,2006
In the Hand of the Goddess (Song of the Lioness  #2),Tamora Pierce,2005
Wild Magic (Immortals  #1),Tamora Pierce,2005
Lioness Rampant (Song of the Lioness  #4),Tamora Pierce,2005
The Botany of Desire: A Plant's-Eye View of the World,Michael Pollan,2002
The Botany of Desire: A Plant's-Eye View of the World,Michael Pollan/Scott Brick,2007
More Milly Molly Mandy,Joyce Lankester Brisley,1999
Essence and Alchemy: A Natural History of Perfume,Mandy Aftel,2007
The Lion  the Witch and the Wardrobe,C.S. Lewis/Pauline Baynes,2003
Promise of the Witch King (Forgotten Realms: The Sellswords  #2),R.A. Salvatore,2006
Witches Abroad (Discworld  #12),Terry Pratchett,2005
The Wizard's Apprentice (The Keepers  #2),Jackie French Koller/Rebecca Guay,2003
Magician: Apprentice (The Riftwar Saga  #1),Raymond E. Feist,1993
Magician: Apprentice (The Riftwar Saga  #1),Raymond E. Feist/Brett Booth,2006
Geek Love,Katherine Dunn,2002
Dear God  Help!!! Love  Earl,Barbara Park/Kenneth Lafreniere,2006
Prince of the Blood (Krondor's Sons  #1),Raymond E. Feist,2007
Shards of a Broken Crown (The Serpentwar Saga  #4),Raymond E. Feist,1998
Rage of a Demon King (The Serpentwar Saga  #3),Raymond E. Feist,1997
A Crown of Swords (The Wheel of Time  #7),Robert Jordan,1997
Winter's Heart (The Wheel of Time  #9),Robert Jordan,2002
The Fires of Heaven (The Wheel of Time  #5),Robert Jordan,1994
A Beautiful Mind,Sylvia Nasar,2002
How To Have A Beautiful Mind,Edward de Bono,2004
The State of Mind Called Beautiful,Sayadaw U. Pandita/Kate Wheeler/Swami Vivekananda,2006
Il genio dei numeri,Sylvia Nasar/Carlo Capararo/Sergio Mancini/Roberta Zuppet,2002
Wolfskin (Saga of the Light Isles  #1),Juliet Marillier,2004
Blade of Fortriu (The Bridei Chronicles  #2),Juliet Marillier,2006
The Dark Mirror (The Bridei Chronicles  #1),Juliet Marillier,2006
Child of the Prophecy (Sevenwaters  #3),Juliet Marillier,2003
Son of the Shadows (Sevenwaters  #2),Juliet Marillier,2002
Wildwood Dancing (Wildwood  #1),Juliet Marillier,2007
Foxmask (Saga of the Light Isles  #2),Juliet Marillier,2005
Foxmask (Saga of the Light Isles  #2),Juliet Marillier,2005
The Noonday Demon: An Atlas of Depression,Andrew Solomon,2002
The Noonday Demon: An Anatomy of Depression,Andrew Solomon,2002
My Secret: A PostSecret Book,Frank Warren,2006
The Secret Lives of Men and Women: A PostSecret Book,Frank Warren,2007
The Secret Life of Houdini: The Making of America's First Superhero,William Kalush/Larry Sloman,2006
The Golden Key,Melanie Rawn/Kate Elliott/Jennifer Roberson,1997
The Case Of The Golden Key (Jigsaw Jones Mystery #19),James Preller/Jamie  Smith,2002
Mandie and the Jumping Juniper (Mandie  #18),Lois Gladys Leppard,2008
Wise Child,Monica Furlong,2004
The Boys of the Archangel Raphael: A Youth Confraternity in Florence  1411-1785,Konrad Eisenbichler,1998
King Solomon's Ring,Konrad Lorenz/Marjorie Kerr Wilson,2002
The Konrad Saga (Konrad  #1-3),David S. Garnett/David Ferring,2005
Aerie (Dragon Jousters  #4),Mercedes Lackey,2006
Sanctuary (Dragon Jousters  #3),Mercedes Lackey,2006
Fortune's Fool (Five Hundred Kingdoms  #3),Mercedes Lackey,2007
The Fairy Godmother (Five Hundred Kingdoms  #1),Mercedes Lackey,2004
The Wizard of London (Elemental Masters  #4),Mercedes Lackey,2006
By Slanderous Tongues (Doubled Edge  #3),Mercedes Lackey/Roberta Gellis,2007
Arrows of the Queen (Heralds of Valdemar  #1),Mercedes Lackey,1987
Phoenix and Ashes (Elemental Masters  #3),Mercedes Lackey,2005
Crossroads and Other Tales of Valdemar (Tales of Valdemar #3),Mercedes Lackey/Rosemary Edghill/Sarah A. Hoyt/Tanya Huff/Fiona Patton/Janni Lee Simner/Mickey Zucker Reichert/Judith Tarr/Larry Dixon/Michael Z. Williamson/Nancy Asire/Richard Lee Byers/Brenda Cooper/Stephanie D. Shaver/Kate Paulk/Michael Longcor/Ben Ohlander,2005
Storm Warning (Valdemar: Mage Storms #1),Mercedes Lackey,1995
This Rough Magic (Heirs of Alexandria  #2),Mercedes Lackey/Eric Flint/Dave Freer,2005
Joust (Dragon Jousters  #1),Mercedes Lackey,2004
Winds of Fury (Valdemar: Mage Winds #3),Mercedes Lackey,1994
Winds of Fate (Valdemar: Mage Winds #1),Mercedes Lackey,1992
Alta (Dragon Jousters  #2),Mercedes Lackey,2005
The Serpent's Shadow (Elemental Masters  #1),Mercedes Lackey,2002
Storm Rising (Valdemar: Mage Storms  #2),Mercedes Lackey,1996
Exile's Valor (Heralds of Valdemar  #7),Mercedes Lackey,2004
Sword of Ice and Other Tales of Valdemar (Tales of Valdemar #1),Mercedes Lackey/Tanya Huff/Mickey Zucker Reichert/Michelle Sagara West/Gary A. Braunbeck/John Helfers/Elisabeth Waters/Lawrence Schimel/Mark Shepherd/Janni Lee Simner/Richard Lee Byers/Josepha Sherman/Larry Dixon/John Yezeguielian/Mel White/Stephanie D. Shaver/Kristin Schwengel/Ben Ohlander/Philip M. Austin,1997
The River's Gift,Mercedes Lackey,1999
Jinx High (Diana Tregarde  #3),Mercedes Lackey,2000
Owlknight (Owl Mage Trilogy  #3),Mercedes Lackey/Larry Dixon,2000
Bedlam's Edge (Bedlam's Bard  #8),Mercedes Lackey/Rosemary Edghill,2007
Owlflight (Owl Mage Trilogy  #1),Mercedes Lackey/Larry Dixon,1998
Children of the Night (Diana Tregarde  #2),Mercedes Lackey,2005
Winter Moon (Walker Papers  #1.5),Mercedes Lackey/Tanith Lee/C.E. Murphy,2005
Arrow's Fall (Heralds of Valdemar  #3),Mercedes Lackey,1988
Difficult Conversations: How to Discuss What Matters Most,Bruce Patton/Douglas Stone/Sheila Heen,2000
The Scarlet Gang of Asakusa,Yasunari Kawabata/Alisa Freedman,2005
Beauty and Sadness,Yasunari Kawabata/Howard Hibbett,1996
The Dancing Girl of Izu and Other Stories,Yasunari Kawabata/J. Martin Holman,1998
Palm-of-the-Hand Stories,Yasunari Kawabata/Lane Dunlop/J. Martin Holman,2006
House of the Sleeping Beauties and Other Stories,Yasunari Kawabata/Edward G. Seidensticker/Yukio Mishima,2004
First Snow on Fuji,Yasunari Kawabata/Michael Emmerich,1999
Romanee Conti: The World's Most Fabled Wine,Richard Olney,1995
As I Crossed a Bridge of Dreams: Recollections of a Woman in Eleventh-Century Japan,Lady Sarashina/Ivan Morris,1975
The Time Traveler's Wife,Audrey Niffenegger,2005
The Part-Time Wife (The Secret Lives of Society Wives  #6),Maureen Child,2006
Part-Time Wife (Hometown Heartbreakers  #4),Susan   Mallery,1996
The Little Friend,Donna Tartt,2007
The Little Friend,Donna Tartt,2002
The Littles and Their Amazing New Friend,John Lawrence Peterson,1999
The Legend of the Poinsettia,Tomie dePaola,1997
I Am Legend,Richard Matheson,1999
Throne of Jade (Temeraire  #2),Naomi Novik,2006
Thrones  Dominations,Dorothy L. Sayers/Jill Paton Walsh,1999
A Throne in Brussels: Britain  the Saxe-Coburgs and the Belgianisation of Europe,Paul Belien,2006
Utena: Revolutionary Girl 01,Chiho Saito,2003
Malgudi Days,R.K. Narayan/Jhumpa Lahiri,2006
The Magic Barrel,Bernard Malamud/Jhumpa Lahiri,2003
Zinn & the Art of Road Bike Maintenance,Lennard Zinn/Todd Telander,2005
A Power Governments Cannot Suppress,Howard Zinn,2006
Wherever You Go  There You Are: Mindfulness Meditation in Everyday Life,Jon Kabat-Zinn,2005
Mindfulness for Beginners,Jon Kabat-Zinn,2006
Grammar Snobs Are Great Big Meanies: A Guide to Language for Fun and Spite,June Casagrande,2006
Death of a Snob (Hamish Macbeth  #6),M.C. Beaton,2000
Beauty is the Beast  Vol. 4,Tomo Matsumoto/Tomo Kimura,2006
Beauty and the Beast,Max Eilenberg/Angela Barrett,2006
White Noise: Text and Criticism,Don DeLillo/Mark Osteen,1998
The Art of Loving,Erich Fromm/Peter D. Kramer/Rainer Funk,2019
The Art of Loving,Eiki Eiki/Sashiko Sato/Bambi Eloriaga,2006
Inattentional Blindness,Arien Mack/Irvin Rock,2000
Touching the Rock: An Experience of Blindness,John M. Hull/Oliver Sacks,1992
Blindness and Insight: Essays in the Rhetoric of Contemporary Criticism,Paul De Man/Wlad Godzich,1983
Yiddish with Dick and Jane,Ellis Weiner/Barbara Davilman/Gabi Payn,2004
A Treasury of Dick and Jane and Friends (Dick and Jane),Pearson Scott Foresman/William S. Gray,2003
The Complete Dick Tracy Volume 1: 1931-1933,Chester Gould/Ashley Wood/Max Allan Collins,2012
Do Androids Dream Of Electric Sheep?,Philip K. Dick,2005
Four Novels of the 1960s: The Man in the High Castle / The Three Stigmata of Palmer Eldritch / Do Androids Dream of Electric Sheep? / Ubik,Philip K. Dick/Jonathan Lethem,2007
The Philip K. Dick Reader,Philip K. Dick,2001
The Shifting Realities of Philip K. Dick,Philip K. Dick/Lawrence Sutin,1996
The Collected Stories of Philip K. Dick 3: Second Variety,Philip K. Dick/John Brunner,2002
The Minority Report (Collected Stories of Philip K. Dick),Philip K. Dick,2000
A Man's Protection,Jayne Castle/Jayne Ann Krentz,1982
Hunger,Lan Samantha Chang,2000
The Diezmo,Rick Bass,2006
Colter: The True Story of the Best Dog I Ever Had,Rick Bass,2001
The Hermit's Story,Rick Bass,2003
The Great Gatsby,F. Scott Fitzgerald,1925
Gould's Book of Fish: A Novel in Twelve Fish,Richard Flanagan,2003
The Liars' Club,Mary Karr,2005
The Pretender (Liar's Club  #1),Celeste Bradley,2003
The Impostor (Liar's Club  #2),Celeste Bradley,2003
Small Wonder,Barbara Kingsolver,2003
Prodigal Summer,Barbara Kingsolver,2001
English Passengers,Matthew Kneale,2001
English Passengers,Matthew Kneale,2001
Island: Collected Stories,Alistair MacLeod,2002
Carried Away: A Personal Selection of Stories,Alice Munro/Margaret Atwood,2006
Selected Stories,Alice Munro,1997
Runaway,Alice Munro,2004
Something I've Been Meaning to Tell You: 13 Stories,Alice Munro,2004
The Beggar Maid: Stories of Flo and Rose,Alice Munro/Susanna Basso,1991
Lives of Girls and Women,Alice Munro,2001
Open Secrets,Alice Munro,1995
Pastoralia,George Saunders,2001
Good Faith,Jane Smiley,2004
The Greenlanders,Jane Smiley,2005
The Autograph Man,Zadie Smith,2003
Anna Karenina,Leo Tolstoy/Constance Garnett,2004
Chronicles: Volume One,Bob Dylan,2005
The Essential Interviews,Bob Dylan/Jonathan Cott,2006
The Bob Dylan Encyclopedia,Michael Gray,2006
Going Native,Stephen Wright,2005
Stranger In A Strange Land,Robert A. Heinlein,2005
The Pearl/The Red Pony,John Steinbeck,1976
A Midsummer Night's Dream,William Shakespeare/Stephen Orgel/A.R. Braunmuller/Russ McDonald,2000
A Ring of Endless Light (Austin Family  #4),Madeleine L'Engle,1995
Bless Me  Ultima,Rudolfo Anaya,1999
Island of the Blue Dolphins,Scott O'Dell/Tantoo Cardinal,2005
A Reading Guide to Island of the Blue Dolphins,Patricia McHugh,2003
Einstein's Dreams,Alan Lightman,2004
Sweet Dreams  Mimi (Baby Einstein),Julie Aigner-Clark/Nadeem Zaidi,2004
A Hunger Like No Other (Immortals After Dark  #1),Kresley Cole,2006
The Price of Pleasure (Sutherland Brothers  #2),Kresley Cole,2004
If You Dare (MacCarrick Brothers  #1),Kresley Cole,2005
Organic Church: Growing Faith Where Life Happens,Neil Cole/Leonard Sweet,2005
Chekhov's Doctors: A Collection of Chekhov's Medical Tales (Literature & Medicine 5),Anton Chekhov/Jack Coulehan/Robert Coles,2003
The Story of Ruby Bridges,Robert Coles/George Ford,2004
The Complete Lyrics of Cole Porter,Cole Porter/Robert Kimball/John Updike,1992
Barron's Book Notes: Lord of the Flies,Michael Spring/William Golding,1984
The spire  William Golding : notes,Steve Eddy,2006
The Inheritors,William Golding,1963
The Pyramid,William Golding,1997
President Nixon: Alone in the White House,Richard Reeves,2002
Awakenings,Oliver Sacks,1999
Kitty Goes to Washington (Kitty Norville  #2),Carrie Vaughn,2006
Kitty and the Midnight Hour (Kitty Norville #1),Carrie Vaughn,2005
Not Since Carrie: Forty Years of Broadway Musical Flops,Ken Mandelbaum,1992
Kitty Takes a Holiday (Kitty Norville  #3),Carrie Vaughn,2007
The Best Short Stories of O. Henry,O. Henry/Bennett Cerf/Van H. Cartmell,2000
Amelia Bedelia 50th Anniversary Library: Amelia Bedelia  Amelia Bedelia and the Surprise Shower  and Play Ball  Amelia Bedelia,Peggy Parish/Various,2012
Merry Christmas  Amelia Bedelia,Peggy Parish/Lynn Sweat,2002
Amelia Bedelia Goes Camping,Peggy Parish/Lynn Sweat,2003
Amelia Bedelia and the Baby (Amelia Bedelia),Peggy Parish/Lynn Sweat,2004
Teach Us  Amelia Bedelia,Peggy Parish/Lynn Sweat,2004
Amelia Bedelia Helps Out,Peggy Parish/Lynn Sweat,2005
Directing the Documentary,Michael Rabiger,2004
Introduction to Documentary,Bill Nichols,2001
$30 Film School: How to Write  Direct  Produce  Shoot  Edit  Distribute  Tour With  and Sell Your Own No-Budget Digital Movie,Michael W. Dean,2003
Salonica  City of Ghosts: Christians  Muslims and Jews  1430-1950,Mark Mazower,2006
Farewell to Salonica: City at the Crossroads,Leon Sciaky/Peter Sciaky,2003
The Mind Parasites,Colin Wilson,2005
Neverwhere (London Below  #1),Neil Gaiman,2003
Neil Gaiman's Neverwhere,Mike Carey/Glenn Fabry/Neil Gaiman,2007
Neverwhere,Neil Gaiman,2001
Marjorie Morningstar,Herman Wouk,1992
The Perfume of the Lady in Black,Gaston Leroux/Margaret Jull Costa/Terry Hale,2015
The Perfume Factory,Alex Austin,2018
Psyche in a Dress,Francesca Lia Block,2006
Echo,Francesca Lia Block,2001
Ecstasia,Francesca Lia Block,2004
Eight Cousins (Eight Cousins  #1),Louisa May Alcott,2007
Peace Is Every Step: The Path of Mindfulness in Everyday Life,Thich Nhat Hanh/Arnold Kotler/Dalai Lama XIV,1992
Night Beat: A Shadow History of Rock & Roll,Mikal Gilmore,1999
The History of Rock and Roll (World History),Adam Woog,1999
Please Kill Me: The Uncensored Oral History of Punk,Legs McNeil/Gillian McCain,2006
The Day the Country Died: A History of Anarcho-Punk  1980-1984,Ian Glasper,2007
Edie: Girl on Fire,David Weisman/Melissa Painter,2006
Edie,Jean Stein/George Plimpton,1994
The Leatherstocking Tales  Vol. 1: The Pioneers / The Last of the Mohicans / The Prairie,James Fenimore Cooper/Blake Nevius,1985
The Catcher in the Rye: Annotations and Study Aids,J.D. Salinger/Rudolph F. Rau,1999
A House Divided (House of Earth  #3),Pearl S. Buck,2006
Sons (House of Earth  #2),Pearl S. Buck,2005
East Wind: West Wind,Pearl S. Buck,1995
Encyclopedia Brown Solves Them All (Encyclopedia Brown  #5),Donald J. Sobol/Leonard W. Shortall,1992
Encyclopedia Brown and the Case of the Slippery Salamander (Encyclopedia Brown  #22),Donald J. Sobol/Warren Chang,2003
Encyclopedia Brown and the Case of the Treasure Hunt (Encyclopedia Brown  #17),Donald J. Sobol/Gail Owens,1989
Encyclopedia Brown and the Case of the Sleeping Dog (Encyclopedia Brown  #21),Donald J. Sobol/Warren Chang,1999
When Red Is Black (Inspector Chen Cao #3),Qiu Xiaolong,2005
The Red and the Black,Stendhal/Burton Raffel/Diane Johnson,2004
Red and Black,Stendhal/Robert M. Adams,1969
Black on Red: My 44 Years Inside the Soviet Union: An Autobiography,Robert Robinson/Jonathan Slevin,1988
Thinking Visually (Basics Illustration  #1),Mark Wigan,2006
Love,Stendhal/Gilbert Sale/Suzanne Sale/B.C.J.G. Knight/Jean Stewart,1975
The Charterhouse of Parma,Stendhal/Richard Howard/Robert Andrew Parker,2000
The Charterhouse of Parma,Stendhal/Roger Pearson/Margaret Mauldon,1999
The King of Elfland's Daughter,Lord Dunsany/Neil Gaiman,1999
In the Land of Time: And Other Fantasy Tales,Lord Dunsany/S.T. Joshi,2004
Fifty-One Tales,Lord Dunsany/John Gregory Betancourt/Lin Carter,2002
The Sword of Welleran and Other Stories,Lord Dunsany/Sidney H. Sime,2005
On the Lines of Morris' Romances: Two Books That Inspired J. R. R. Tolkien-The Wood Beyond the World and the Well at the World's End,William Morris/Michale W. Perry,2003
Faust  Part One,Johann Wolfgang von Goethe/David  Luke,1998
Faust  First Part,Johann Wolfgang von Goethe/Peter Salm,1988
Faust  Part Two,Johann Wolfgang von Goethe/David  Luke,1999
Nathan the Wise  Minna von Barnhelm  and Other Plays and Writings,Gotthold Ephraim Lessing,1991
Your First Year in Network Marketing: Overcome Your Fears  Experience Success  and Achieve Your Dreams!,Mark Yarnell/Rene Reid Yarnell/Richard  Poe,1998
The Wealth of Networks: How Social Production Transforms Markets and Freedom,Yochai Benkler,2006
War Trash,Ha Jin,2005
Zone of the Enders: The 2nd Runner Official Strategy Guide,Tim Bogenn,2003
The God Delusion,Richard Dawkins,2006
Good in Bed (Cannie Shapiro  #1),Jennifer Weiner,2002
The Guy Not Taken: Stories,Jennifer Weiner,2006
Goodnight Nobody,Jennifer Weiner,2006
Los diarios de Nanny,Emma McLaughlin/Nicola Kraus,2003
Davita's Harp,Chaim Potok,1996
Neuromancer,William Gibson,2004
Chosen By God: Know God's Perfect Plan for His Glory and His Children,R.C. Sproul,1994
The Chosen: The Hidden History of Admission and Exclusion at Harvard  Yale  and Princeton,Jerome Karabel,2006
Chosen Prey (Lucas Davenport  #12),John Sandford,2002
Chosen But Free,Norman L. Geisler,2001
The Lady Chosen (Bastion Club  #1),Stephanie Laurens,2003
Maya Cosmogenesis 2012: The True Meaning of the Maya Calendar End-Date,John Major Jenkins/Terence McKenna,1998
Travels of Marco Polo,Marco Polo/Howard Mittelmark/Milton Rugoff,2004
The Sword of Angels (The Bronze Knight  #3),John Marco,2006
A Scanner Darkly,Philip K. Dick,2006
Midnight's Children,Salman Rushdie,1995
Last Man Standing,David Baldacci,2002
Last Man Standing,David Baldacci,2002
Last Man Standing,David Baldacci,2003
Rape: A Love Story,Joyce Carol Oates,2003
Plain Truth,Jodi Picoult,2004
Vanishing Acts,Jodi Picoult,2005
Nineteen Minutes,Jodi Picoult,2007
The Pact,Jodi Picoult,2005
The Outsiders,S.E. Hinton/Jodi Picoult,2006
Die Wahrheit der letzten Stunde,Jodi Picoult,2001
Die Hexen von Salem Falls,Jodi Picoult,2002
In einer regnerischen Nacht.,Jodi Picoult,2003
A Tree Grows in Brooklyn,Betty  Smith,2006
The Sound of Mountain Water,Wallace Stegner,1997
Wolf Willow,Wallace Stegner/Page Stegner,2000
Mormon Country,Wallace Stegner/Richard W. Etulain,2003
The Complete Novels,Jane Austen,1996
Jane Austen's Letters,Jane Austen,2003
Pride and Prejudice,Jane Austen,1984
The Complete Novels of Jane Austen  Vol 1: Sense & Sensibility/Pride & Prejudice/Mansfield Park,Jane Austen,1992
Pride and Prejudice,Jane Austen/Pat Rogers,2006
Desire and Duty: A Sequel to Jane Austen's Pride and Prejudice,Ted Bader/Marilyn Bader,1997
Emma,Jane Austen/James Kinsley/Adela Pinch,2003
Emma,Jane Austen,2006
Emma,Jane Austen/Prunella Scales,2006
Sense and Sensibility,Jane Austen/Claudia L. Johnson,2001
Who's Afraid of Virginia Woolf?,Edward Albee,2006
To the Lighthouse,Virginia Woolf/Mark Hussey,2005
Mrs. Dalloway,Virginia Woolf/Maureen Howard,2002
A Room of One's Own,Virginia Woolf,1994
Moments of Being: A Collection of Autobiographical Writing,Virginia Woolf/Jeanne Schulkind,1985
The Complete Shorter Fiction of Virginia Woolf,Virginia Woolf/Susan Dick,1989
The Diary of Virginia Woolf  Volume Two: 1920-1924,Virginia Woolf/Anne Olivier Bell/Andrew McNeillie,1980
A Writer's Diary,Virginia Woolf/Leonard Woolf,2003
The Autobiography of Alice B. Toklas,Gertrude Stein,2001
Strange Fits of Passion,Anita Shreve,2005
Eden Close,Anita Shreve,2005
Where or When,Anita Shreve,2005
Body Surfing,Anita Shreve,2007
Labyrinth (Languedoc  #1),Kate Mosse,2007
Labyrinth of Evil (Star Wars: The Dark Lord Trilogy  #1),James Luceno,2005
El laberinto,Kate Mosse/Claudia Conde,2006
Spook: Science Tackles the Afterlife,Mary Roach,2006
Odd Thomas (Odd Thomas  #1),Dean Koontz,2006
Brother Odd (Odd Thomas  #3),Dean Koontz,2006
Rape: A Love Story,Joyce Carol Oates,2004
